время,координата,плотность
0,0,850
0,1000,850
0,2000,850
0,3000,850
0,4000,850
0,5000,850
0,6000,850
0,7000,850
0,8000,850
0,9000,850
0,10000,850
0,11000,850
0,12000,850
0,13000,850
0,14000,850
0,15000,850
0,16000,850
0,17000,850
0,18000,850
0,19000,850
0,20000,850
0,21000,850
0,22000,850
0,23000,850
0,24000,850
0,25000,850
0,26000,850
0,27000,850
0,28000,850
0,29000,850
0,30000,850
0,31000,850
0,32000,850
0,33000,850
0,34000,850
0,35000,850
0,36000,850
0,37000,850
0,38000,850
0,39000,850
0,40000,850
0,41000,850
0,42000,850
0,43000,850
0,44000,850
0,45000,850
0,46000,850
0,47000,850
0,48000,850
0,49000,850
0,50000,850
0,51000,850
0,52000,850
0,53000,850
0,54000,850
0,55000,850
0,56000,850
0,57000,850
0,58000,850
0,59000,850
0,60000,850
0,61000,850
0,62000,850
0,63000,850
0,64000,850
0,65000,850
0,66000,850
0,67000,850
0,68000,850
0,69000,850
0,70000,850
0,71000,850
0,72000,850
0,73000,850
0,74000,850
0,75000,850
0,76000,850
0,77000,850
0,78000,850
0,79000,850
0,80000,850
0,81000,850
0,82000,850
0,83000,850
0,84000,850
0,85000,850
0,86000,850
0,87000,850
0,88000,850
0,89000,850
0,90000,850
0,91000,850
0,92000,850
0,93000,850
0,94000,850
0,95000,850
0,96000,850
0,97000,850
0,98000,850
0,99000,850
0,100000,850
666.667,0,870
666.667,1000,850
666.667,2000,850
666.667,3000,850
666.667,4000,850
666.667,5000,850
666.667,6000,850
666.667,7000,850
666.667,8000,850
666.667,9000,850
666.667,10000,850
666.667,11000,850
666.667,12000,850
666.667,13000,850
666.667,14000,850
666.667,15000,850
666.667,16000,850
666.667,17000,850
666.667,18000,850
666.667,19000,850
666.667,20000,850
666.667,21000,850
666.667,22000,850
666.667,23000,850
666.667,24000,850
666.667,25000,850
666.667,26000,850
666.667,27000,850
666.667,28000,850
666.667,29000,850
666.667,30000,850
666.667,31000,850
666.667,32000,850
666.667,33000,850
666.667,34000,850
666.667,35000,850
666.667,36000,850
666.667,37000,850
666.667,38000,850
666.667,39000,850
666.667,40000,850
666.667,41000,850
666.667,42000,850
666.667,43000,850
666.667,44000,850
666.667,45000,850
666.667,46000,850
666.667,47000,850
666.667,48000,850
666.667,49000,850
666.667,50000,850
666.667,51000,850
666.667,52000,850
666.667,53000,850
666.667,54000,850
666.667,55000,850
666.667,56000,850
666.667,57000,850
666.667,58000,850
666.667,59000,850
666.667,60000,850
666.667,61000,850
666.667,62000,850
666.667,63000,850
666.667,64000,850
666.667,65000,850
666.667,66000,850
666.667,67000,850
666.667,68000,850
666.667,69000,850
666.667,70000,850
666.667,71000,850
666.667,72000,850
666.667,73000,850
666.667,74000,850
666.667,75000,850
666.667,76000,850
666.667,77000,850
666.667,78000,850
666.667,79000,850
666.667,80000,850
666.667,81000,850
666.667,82000,850
666.667,83000,850
666.667,84000,850
666.667,85000,850
666.667,86000,850
666.667,87000,850
666.667,88000,850
666.667,89000,850
666.667,90000,850
666.667,91000,850
666.667,92000,850
666.667,93000,850
666.667,94000,850
666.667,95000,850
666.667,96000,850
666.667,97000,850
666.667,98000,850
666.667,99000,850
666.667,100000,850
1333.33,0,860
1333.33,1000,870
1333.33,2000,850
1333.33,3000,850
1333.33,4000,850
1333.33,5000,850
1333.33,6000,850
1333.33,7000,850
1333.33,8000,850
1333.33,9000,850
1333.33,10000,850
1333.33,11000,850
1333.33,12000,850
1333.33,13000,850
1333.33,14000,850
1333.33,15000,850
1333.33,16000,850
1333.33,17000,850
1333.33,18000,850
1333.33,19000,850
1333.33,20000,850
1333.33,21000,850
1333.33,22000,850
1333.33,23000,850
1333.33,24000,850
1333.33,25000,850
1333.33,26000,850
1333.33,27000,850
1333.33,28000,850
1333.33,29000,850
